minute,second,kongqiu_team,pass_player_name,pass_location_y,pass_location_x,jieqiu_team,jieqiu_player_name,end_location_y,end_location_x
0,49,CHA,Cody Zeller,9.95718,29.99935,CHA,Nicolas Batum,4.07813,30.72926
12,52,TOR,Kyle Lowry,8.67892,18.11564,TOR,Luis Scola,12.8351,26.77189
13,8,CHA,Nicolas Batum,61,40,CHA,Marvin Williams,35,39
13,21,CHA,Marvin Williams,61,40,CHA,Nicolas Batum,35,39
13,24,CHA,Nicolas Batum,61,40,CHA,Cody Zeller,35,39
13,57,TOR,Luis Scola,61,40,TOR,DeMar DeRozan,35,39
14,6,TOR,DeMar DeRozan,61,40,TOR,Kyle Lowry,35,39
14,10,TOR,Kyle Lowry,61,40,TOR,DeMar DeRozan,35,39
14,20,TOR,DeMar DeRozan,61,40,TOR,Jonas Valanciunas,35,39
14,26,TOR,Jonas Valanciunas,61,40,TOR,Kyle Lowry,35,39
14,28,TOR,Kyle Lowry,61,40,TOR,DeMar DeRozan,35,39
14,29,TOR,DeMar DeRozan,61,40,TOR,DeMarre Carroll,35,39
14,53,CHA,Marvin Williams,61,40,CHA,Nicolas Batum,35,39
15,0,CHA,Nicolas Batum,61,40,CHA,PJ Hairston,35,39
15,1,CHA,PJ Hairston,61,40,CHA,Cody Zeller,35,39
15,14,CHA,Cody Zeller,61,40,CHA,Marvin Williams,35,39
15,31,TOR,Luis Scola,61,40,TOR,Jonas Valanciunas,35,39
15,34,TOR,Jonas Valanciunas,61,40,TOR,DeMar DeRozan,35,39
16,19,CHA,Nicolas Batum,12.91454,15.03126,CHA,Cody Zeller,6.3382,33.1826
16,58,TOR,Kyle Lowry,18.5747,25.29515,TOR,DeMar DeRozan,23.31665,26.80716
17,1,TOR,DeMar DeRozan,22.85233,27.10554,TOR,Kyle Lowry,18.47941,26.3533
17,2,TOR,Kyle Lowry,18.46412,26.39438,TOR,Luis Scola,14.23803,20.67611
17,5,TOR,Luis Scola,61,40,TOR,DeMar DeRozan,35,39
18,18,CHA,Nicolas Batum,61,40,CHA,Kemba Walker,35,39
18,21,CHA,Kemba Walker,61,40,CHA,Frank Kaminsky,35,39
